32 84
1 2 1318
1 3 120
1 5 1248
1 6 1023
1 8 410
1 9 693
1 13 508
1 14 1229
1 19 1950
1 25 1880
1 28 1590
1 10 2298
1 30 3140
1 26 1786
1 4 1211
3 8 350
3 6 900
5 18 240
5 29 900
13 4 570
18 29 690
2 6 295
2 7 100
2 8 880
2 10 1795
2 11 430
2 12 710
2 14 810
2 15 1450
2 16 800
2 19 1670
2 23 1100
2 24 150
2 25 1980
2 28 1100
6 7 85
6 11 150
6 14 540
6 19 1370
7 24 250
8 12 390
11 14 360
11 17 340
12 29 1100
4 9 480
4 14 740
4 20 1130
4 25 660
4 26 630
9 14 520
9 19 1060
9 25 1250
9 28 900
9 10 1600
10 14 1069
10 15 102
10 16 870
10 20 1280
10 21 860
10 22 630
10 23 510
10 25 1410
10 28 660
14 19 870
14 25 1150
14 28 350
15 23 520
16 23 250
17 28 340
19 20 1100
19 21 380
19 25 308
20 21 520
20 25 1100
20 30 2760
21 25 650
25 26 830
25 30 2350
26 27 220
26 30 1780
26 31 470
28 20 1090
32 10 140
32 15 30
